TIME_STAMP,FORECAST_VALUE,MEASURED_VALUE
1/20/2023 12:00:00 AM,6034.91,6169
1/20/2023 1:00:00 AM,5687.9,5768
1/20/2023 2:00:00 AM,5287.6,5384
1/20/2023 3:00:00 AM,5023.27,5096
1/20/2023 4:00:00 AM,4911.19,4961
1/20/2023 5:00:00 AM,4973.92,4974
1/20/2023 6:00:00 AM,5234.84,5167
1/20/2023 7:00:00 AM,5562.69,5528
1/20/2023 8:00:00 AM,5877.41,5875
1/20/2023 9:00:00 AM,6097.64,6137
1/20/2023 10:00:00 AM,6156.7,6212
1/20/2023 11:00:00 AM,6195.29,6234
1/20/2023 12:00:00 PM,6178.75,6159
1/20/2023 1:00:00 PM,6125.99,6010
1/20/2023 2:00:00 PM,6027.82,5792
1/20/2023 3:00:00 PM,6095.02,5692
1/20/2023 4:00:00 PM,6498.2,5892
1/20/2023 5:00:00 PM,6679.58,6183
1/20/2023 6:00:00 PM,6648.61,6166
1/20/2023 7:00:00 PM,6579.31,6048
1/20/2023 8:00:00 PM,6441.5,5990
1/20/2023 9:00:00 PM,6273.25,5926
1/20/2023 10:00:00 PM,6172.72,5970
1/20/2023 11:00:00 PM,6113.13,6008
